Tag;AVG_LWET200;AVG_RH200;AVG_TA020;AVG_TA200;AVG_TB005;AVG_WV200;DFROST;DHOT;DICE;DRAIN;DSUMM;DVEG;KWB;MAX_GS200;MAX_LWET200;MAX_NN050;MAX_RH200;MAX_TA020;MAX_TA200;MAX_TB005;MAX_WV200;MAX_WV200max;MIN_LWET200;MIN_RH200;MIN_TA020;MIN_TA200;MIN_TB005;SUM_GS200;SUM_NN050;SUM_SOH
02.09.2023;49,7;78,3;19,4;19;18,2;1;0;0;0;0;1;1;-3,3;817,8;100;0;99,4;29,3;26,1;19,3;1,8;3,5;6,7;50,9;10,8;11,7;17,2;5479;0;10
03.09.2023;49;80,6;18,3;18,5;18,6;1;0;0;0;0;0;1;-2,8;654,2;100;0;98,7;25,5;24,1;19,4;1,9;3,5;8,4;58,3;12,7;13,4;17,8;4623,9;0;8
04.09.2023;39;67,9;19,1;19,5;18,5;1,7;0;0;0;0;1;1;-4,1;771,6;100;0;97,3;27,1;26,8;19,2;3;5,1;5,4;36,5;10,9;11,9;17,6;6100,2;0;12
05.09.2023;13;63,2;18,8;19,8;18,4;1,5;0;0;0;0;1;1;-3,9;772,4;35,2;0;86,3;27,4;26,8;19,3;2,6;4,7;5,9;41,9;10,2;12,1;17,5;6024,1;0;12
06.09.2023;38;69;18,1;18,8;18,2;1,2;0;0;0;0;1;1;-3,7;760,1;100;0;92,9;28,1;27,7;19,2;2,7;4,4;5,4;39,5;8,8;10,4;17;5981,8;0;12
07.09.2023;32,8;71,2;18,7;19,4;18,2;1,2;0;0;0;0;1;1;-3,7;752,9;100;0;95,9;28,6;28,4;19,4;2,4;4,3;6,6;46,3;9,3;11,1;17;5899,8;0;12
08.09.2023;40,7;72,5;19,5;20,1;18,5;0,9;0;0;0;0;1;1;-3,5;742,7;100;0;95,5;29,2;28,3;19,7;1,8;3,4;6,2;42;9,9;12;17,2;5790;0;12
09.09.2023;39,1;73,3;21,1;21,7;19;1;0;0;0;0;1;1;-3,5;717,8;100;0;96,5;30,4;28,9;20,2;2,3;4;6,4;47,5;12,6;14,4;17,8;5603,8;0;11
10.09.2023;31,8;71;21,3;22;19,5;1;0;0;0;0;1;1;-3,5;720,8;97,7;0;96,9;30,4;29;20,5;1,9;3,6;6,3;43,9;13,6;15,3;18,4;5433,2;0;11
11.09.2023;26,6;70,2;21,1;21,7;19,5;1;0;0;0;0;1;1;-3,5;716,6;91,7;0;94,3;31,1;29,3;20,6;1,9;3,8;5,9;43,5;12,5;14,2;18,4;5437,5;0;11
12.09.2023;33,3;70,4;21,3;21,9;19,5;1,1;0;1;0;0;1;1;-3,3;695,6;99,4;0;97,3;32;30,6;20,5;2,6;4,5;5,3;40,2;12,9;14,2;18,5;4461,2;0;8
13.09.2023;37,1;84,6;18,7;18,7;19,5;1,1;0;0;0;1;0;1;0,9;465,6;100;2,2;96,9;23,5;21,6;19,8;2,2;3,5;10,2;68,8;14,9;16,4;19,2;2286,3;2,6;2
14.09.2023;23,8;80,6;16,9;16,9;18,9;1,3;0;0;0;0;0;1;-2,4;655,9;83,2;0;96,1;22,7;21,4;19,3;2;4,1;8,2;58,1;11;12,8;18,5;3855;0;7
15.09.2023;38,1;77,5;17;17,3;18;1,2;0;0;0;0;0;1;-2,9;703,7;96;0;97,2;25,9;24,4;18,9;2,6;4,8;6,7;50,1;8,9;9,9;16,9;5241,7;0;11
16.09.2023;43,6;71,7;20;20,3;18,3;1,1;0;0;0;0;1;1;-3,3;708,2;100;0;97,5;28,8;28,4;19,4;2;3,8;5,4;39,7;10,9;12;17,1;5151,2;0;11
17.09.2023;20,5;69,3;20,7;21,6;19;1;0;0;0;0;1;1;-2,9;634,6;83,2;0;95,7;29,7;28,6;19,8;2,1;3,7;6;40,4;13,6;14,8;18;4223,1;0;8
18.09.2023;55,1;82;17,7;18,2;18,5;1,9;0;0;0;1;0;1;0,5;344,2;99,8;0,8;88,8;22,1;20,9;19;4,5;7,5;10,8;69,3;14,5;15,7;18,4;1642,5;2,2;1
19.09.2023;31,5;74,9;16,9;17;18,1;2,5;0;0;0;1;0;1;-1,1;629;100;1;94,2;23,1;21,2;18,5;5;8,1;8,9;51,8;10,5;13,5;17,7;4492,8;1,8;9
20.09.2023;27,3;68,4;17,5;17,8;17,5;1,1;0;0;0;0;1;1;-3;686,8;92;0;96,4;28,7;25,8;18,6;2,6;5,2;6,4;41,2;8,5;9,4;16,3;5249,2;0;11
21.09.2023;42;75,3;18,6;18,7;17,8;1,2;0;0;0;1;1;1;5,6;513,7;100;3,7;95;27,7;25,7;18,8;5,4;8,1;6,8;48,3;11,3;13,3;17;3344,2;8;6
22.09.2023;79,5;85,2;14,6;14,1;17,5;1,7;0;0;0;1;0;1;5,4;497,3;100;4,2;96;21,5;18,7;18,1;3,4;5,6;9,4;58,8;11,1;11,5;17;2608,6;7,2;4
23.09.2023;52,6;78,5;12,8;12,6;16,2;1,6;0;0;0;0;0;1;-1,9;593,6;100;0;95,7;18,5;16,9;16,9;3,1;5;9,2;54,8;7,2;8,1;15,6;3521,1;0;7
24.09.2023;45,4;75,9;12;12,2;15,6;1,1;0;0;0;0;0;1;-2,2;715,6;100;0;98,6;20,6;18,9;16,3;2,5;4,3;6,7;44,8;5,4;6;14,6;4916,7;0;11
25.09.2023;42,2;73,1;12,6;13,3;14,8;1,1;0;0;0;0;0;1;-2,4;675,4;92,8;0;95,4;22,2;21,4;15,9;1,8;3,7;6,9;45,1;3,9;5,2;13,6;4902,8;0;11
26.09.2023;49,5;77,3;14,7;14,9;15,1;0,8;0;0;0;0;0;1;-2,4;671,8;100;0;98,8;26,6;24,3;16,4;1,4;2,5;6;41,7;5,8;6,9;13,8;4869,2;0;11
27.09.2023;47,4;77,5;15;15,6;15,4;0,9;0;0;0;0;0;1;-2,4;662,5;100;0;98,8;27,7;24,7;16,7;1,7;3,1;6,4;45,7;6,4;8;14,2;4671,5;0;11
28.09.2023;35,2;69,1;17;17,7;15,8;0,8;0;0;0;0;1;1;-2,5;645,3;84,4;0;96,3;28,7;28,1;17,1;1,3;2,3;4,4;28,4;8,6;10,3;14,7;4413,6;0;10
29.09.2023;20,5;71,5;18;18,3;16,2;2,2;0;0;0;0;1;1;-3;624;80,6;0;94,7;28,9;26,8;17,3;4,7;7,5;7,5;46,5;9,1;10,7;15,1;3798,8;0;8
30.09.2023;16,9;79;14,9;15,2;16,4;1,2;0;0;0;0;0;1;-1,8;506;43,8;0;95,6;21,3;19,6;17;2,2;3,8;8,6;57,4;8,3;10,1;15,9;3166,5;0;6
01.10.2023;40,6;74,7;14,5;14,7;15,5;0,8;0;0;0;0;0;1;-2,2;621,2;96,1;0;98,2;26,5;24,9;16,6;1,5;3,1;5,7;36,8;6,1;7,1;14,3;4378,6;0;10
02.10.2023;29,9;70;16,2;17,3;15,6;0,8;0;0;0;0;1;1;-2,4;622,1;86;0;96,7;30,9;27,9;16,9;1,4;2,3;4,9;32,9;7,1;8,7;14,3;4356,9;0;10
03.10.2023;24,1;72,4;16,8;17,9;15,9;2,6;0;0;0;1;1;1;0;507,3;66,1;2,9;90,6;27,5;26;16,8;6,1;9,6;8;46,5;9,5;10,9;15,1;3214,8;3;7
04.10.2023;50,1;79,6;11,5;12;15;1,2;0;0;0;0;0;1;-1,7;605,5;99,3;0;97,6;19,7;17,6;15,9;2,2;3,9;8,4;52;5,6;7,3;14,2;3779,9;0;9
05.10.2023;51;85,1;10;10,1;13,9;0,8;0;0;0;0;0;1;-1,2;468,4;93,7;0;98,5;17,7;15,8;14,5;1,6;3,2;10,2;62,7;4,9;5,7;13,1;2284,2;0;4
06.10.2023;49,8;80,4;11,1;11,4;13,5;1;0;0;0;0;0;1;-1,7;623,6;100;0;99,4;23,5;20,2;14,6;1,7;3,1;7,7;49,3;3,4;4;12,3;3928,8;0;10
07.10.2023;41,7;67,6;12;13,2;13,2;1,1;0;0;0;0;0;1;-1,7;393,6;93,7;0;97,6;21,1;20,6;14;2,4;3,7;8,4;40,5;2,7;4,2;12,2;2571,3;0;5
08.10.2023;10,4;61,1;14,6;16,1;13,9;1,1;0;0;0;0;0;1;-2;455,7;13,8;0;85,5;26,8;24,9;14,9;2,3;4;6,8;37,6;7,4;9,6;13;2664,2;0;5
09.10.2023;11,8;65,5;15,1;16,4;14,1;1;0;0;0;0;0;1;-1,8;268,9;21,2;0;91,2;24,5;24,2;14,9;1,9;3,3;7,5;35;7,4;9,5;13,4;1736,2;0;2
10.10.2023;22,4;73,9;13,6;15;14,3;0,8;0;0;0;0;0;1;-1,6;466,1;81,2;0;94,9;24,2;23,4;15,2;1,4;2,4;7,9;46,2;6,4;8,9;13,4;2954;0;7
11.10.2023;33,8;66,4;15,4;16,6;14,2;1,3;0;0;0;0;1;1;-2,4;575,1;86,7;0;96,9;28,9;26,6;15,4;3,6;5,8;6,2;32,1;5,4;7,8;13;3859,4;0;10
12.10.2023;10,7;61,3;16,4;18;14,4;1,3;0;0;0;0;0;1;-1,7;197,7;13;0;81,9;21,5;22,2;15;2,7;4,2;8,9;45,6;9,8;12,9;13,8;1213,8;0;1
13.10.2023;8,6;46,7;18,5;20,2;15;2;0;0;0;0;1;1;-3,2;599,3;12,2;0;75,4;29,4;27,6;15,9;4,7;7,6;5,4;24,5;9;12,2;14,1;3581,1;0;9
14.10.2023;32,2;75,5;14,2;14,5;15,1;3,1;0;0;0;1;0;1;3;276,1;97,8;1,6;91,1;20,2;21,1;15,5;4,8;8,3;7,2;37,2;5,5;7,1;14,1;1193,8;5,7;1
15.10.2023;43,3;80,1;6,9;7;13;2,1;0;0;0;1;0;1;-0,9;523,6;97,3;0,2;94,5;12,7;11,3;14;4,6;7,3;9,6;51,6;0,9;2,2;12;2727,7;0,4;6
16.10.2023;43,4;76,4;5,4;5,3;11;1,3;1;0;0;0;0;1;-1,2;560,9;92,6;0;98,1;13,3;11,8;11,8;2,5;4,4;8,1;46,5;-1,8;-1;10,1;3651,2;0;10
17.10.2023;37,1;83,9;4,9;5,1;10,3;1;0;0;0;0;0;1;-0,8;349;81,8;0;96,2;11,4;10,9;10,9;1,7;2,9;10,5;67,8;-1;0;9,5;1855,7;0;3
18.10.2023;74,5;88,5;7,5;7,3;10,2;1,1;0;0;0;1;0;1;4,8;424,6;100;1,9;98,6;15,1;13,6;11;1,9;3;9,6;58,1;0,7;1,5;9,4;1832,6;5,8;3
19.10.2023;100;97,7;12,5;12,5;11,7;0,8;0;0;0;1;0;1;5,7;237,8;100;1,9;99,5;15,7;14,9;12,5;1,5;2,5;100;91,7;9,1;9,2;11,1;945;6,3;0
20.10.2023;91,2;90,5;12,7;13;12,7;1,7;0;0;0;1;0;1;2,7;170,9;100;2,3;99,6;16,5;16,7;13;5,2;8,8;12,5;70,5;9,2;10,4;12,5;915,5;3,7;0
